代號,名稱,市場
5299,杰力,櫃
5302,太欣,櫃
5344,立衛,櫃
5347,世界,櫃
5351,鈺創,櫃
5425,台半,櫃
5443,均豪,櫃
5468,凱鈺,櫃
5471,松翰,市
5483,中美晶,櫃
5487,通泰,櫃
6103,合邦,櫃
6104,創惟,櫃
6129,普誠,櫃
6138,茂達,櫃
6147,頎邦,櫃
6182,合晶,櫃
6187,萬潤,櫃
6202,盛群,市
6208,日揚,櫃
6223,旺矽,櫃
6229,研通,櫃
6233,旺玖,櫃
6237,驊訊,櫃
6239,力成,市
6243,迅杰,市
6257,矽格,市
6261,久元,櫃
6271,同欣電,市
6291,沛亨,櫃
6411,晶焱,櫃
6415,矽力*-KY,市
6423,億而得,櫃
6435,大中,櫃
6451,訊芯-KY,市
6462,神盾,櫃
6485,點序,櫃
6488,環球晶,櫃
6494,九齊,櫃
6510,精測,櫃
6515,穎崴,市
6525,捷敏-KY,市
6526,達發,市
6531,愛普*,市
6532,瑞耘,櫃
6533,晶心科,市
6548,長科*,櫃
6552,易華電,市
6568,宏觀,櫃
6573,虹揚-KY,市
6640,均華,櫃
6643,M31,櫃
6651,全宇昕,櫃
6679,鈺太,櫃
6683,雍智科技,櫃
6684,安格,櫃
6693,廣閎科,櫃
6695,芯鼎,市
6708,天擎,櫃
6716,應廣,櫃
6719,力智,市
6720,久昌,櫃
6732,昇佳電子,櫃
6756,威鋒電子,市
6770,力積電,市
6788,華景電,櫃
6789,采鈺,市
6799,來頡,市
6823,濾能,櫃
6829,千附精密,櫃
6854,錼創科技-KY創,市
6895,宏碩系統,櫃
6907,雅特力-KY,櫃
6909,創控,市
6921,嘉雨思-創,市
6937,天虹,市
6953,家碩,櫃
6962,奕力-KY,市
6996,力領科技,櫃
7556,意德士,櫃
7704,明遠精密,櫃
7712,博盛半導體,櫃
7730,暉盛-創,市
7734,印能科技,櫃
7749,意騰-KY,市
7751,竑騰,櫃
7769,鴻勁,市
7770,君曜,櫃
7810,捷創科技,櫃
7822,倍利科,市
8016,矽創,市
8024,佑華,櫃
8028,昇陽半導體,市
8040,九暘,櫃
8054,安國,櫃
8081,致新,市
8086,宏捷科,櫃
8088,品安,櫃
8091,翔名,櫃
8102,傑霖科技,櫃
8110,華東,市
8131,福懋科,市
8150,南茂,市
8162,微矽電子-創,市
8227,巨有科技,櫃
8261,富鼎,市
8271,宇瞻,市
8277,商丞,櫃
8299,群聯,櫃
8383,千附,櫃
1569,濱川,櫃
2301,光寶科,市
2305,全友,市
2324,仁寶,市
2331,精英,市
2352,佳世達,市
2353,宏碁,市
2356,英業達,市
2357,華碩,市
2362,藍天,市
2364,倫飛,市
2365,昆盈,市
2376,技嘉,市
2377,微星,市
2380,虹光,市
2382,廣達,市
2387,精元,市
2395,研華,市
2397,友通,市
2399,映泰,市
2405,輔信,市
2417,圓剛,市
2425,承啟,市
2432,倚天酷碁-創,市
2465,麗臺,市
2495,普安,市
3002,歐格,市
3005,神基,市
3013,晟銘電,市
3017,奇鋐,市
3022,威強電,市
3046,建碁,市
3057,喬鼎,市
3060,銘異,市
3071,協禧,櫃
3088,艾訊,櫃
3211,順達,櫃
3213,茂訊,櫃
3231,緯創,市
3272,東碩,櫃
3287,廣寰科,櫃
3323,加百裕,櫃
3325,旭品,櫃
3349,寶德,櫃
3416,融程電,市
3479,安勤,櫃
3483,力致,櫃
3494,誠研,市
3515,華擎,市
3540,曜越,櫃
3577,泓格,櫃
3594,磐儀,櫃
3611,鼎翰,櫃
3625,西勝,櫃
3652,精聯,市
3693,營邦,櫃
3701,大眾控,市
3706,神達,市
3709,鑫聯大投控,櫃
3712,永崴投控,市
4916,事欣科,市
4924,欣厚-KY,櫃
4931,新盛力,櫃
4938,和碩,市
4987,科誠,櫃
5215,科嘉-KY,市
5223,安力-KY,櫃
5258,虹堡,市
5289,宜鼎,櫃
5356,協益,櫃
5386,青雲,櫃
5426,振發,櫃
5438,東友,櫃
5465,富驊,櫃
5474,聰泰,櫃
5490,同亨,櫃
6117,迎廣,市
6121,新普,櫃
6128,上福,市
6150,撼訊,櫃
6160,欣技,櫃
6161,捷波,櫃
6166,凌華,市
6188,廣明,櫃
6206,飛捷,市
6228,全譜,櫃
6230,尼得科超眾,市
6235,華孚,市
6276,安鈦克,櫃
6277,宏正,市
6414,樺漢,市
6441,廣錠,櫃
6570,維田,櫃
6577,勁豐,櫃
6579,研揚,市
6591,動力-KY,市
6669,緯穎,市
6680,鑫創電子,櫃
6831,邁科,市
6922,宸曜,櫃
6928,攸泰科技,市
6933,AMAX-KY,市
7711,永擎,市
8050,廣積,櫃
8076,伍豐,櫃
8114,振樺電,市
8163,達方,市
8210,勤誠,市
8234,新漢,櫃
8410,森田,櫃
9912,偉聯,市
